Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/classify_b,30806,0,160.0,233.81988107349625,3.8558140004170127,2834.9386640002194,3.0,724.1906848010462,0.0,160,200,250,300,470,730,1200,1800,2500,2600,2800
,Aggregated,30806,0,160.0,233.81988107349625,3.8558140004170127,2834.9386640002194,3.0,724.1906848010462,0.0,160,200,250,300,470,730,1200,1800,2500,2600,2800
