Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/classify_a,30906,0,13,245.244932752452,4.063219003000995,22654.72873899853,3.0,546.1589295630149,0.0,13,20,36,64,400,1000,2000,4200,23000,23000,23000
,Aggregated,30906,0,13,245.244932752452,4.063219003000995,22654.72873899853,3.0,546.1589295630149,0.0,13,20,36,64,400,1000,2000,4200,23000,23000,23000
